id;id_textual;nom;activat;visible_publicacio;id_pare
55301;PUA_MONMIC;El món del Mic;0;0;54781
54915;ELRUSC;El rusc;0;0;54781
52137;PUTAGSTEMPS;El temps;0;0;52099
52214;ELECCIONS;Eleccions;0;0;52099
52346;ELECCIONS21D;Eleccions 21D;0;1;52099
53128;ELECCIONS28A;Eleccions 28A;0;1;52099
53773;EUSKGALIC;Eleccions a Euskadi i Galícia ;0;0;52099
54429;ELECALEMANYA;Eleccions Alemanya ;0;1;52099
54985;AUTONOMIQUES;Eleccions autonòmiques 2023;0;0;52099
53141;AUTO26M;Eleccions autonòmiques 26M;0;1;52099
54190;ELECCIONSFCB;Eleccions Barça;0;0;52104
54157;ELECCIONSEUA;Eleccions Estats Units;0;0;52099
56102;EUAELECCIONS;Eleccions Estats Units 2024;0;0;52099
56013;ELECCIONSUE;Eleccions europees 2024;0;0;52099
53142;EUROPA26M;Eleccions europees 26M;0;1;52099
54668;ELECFRAN;Eleccions França 2022;0;1;52099
53425;ELECCIONS10N;Eleccions generals 2019-10N;0;1;52099
55279;GENERALS23J;Eleccions Generals 2023 - 23J;0;0;52099
54929;ELE28M2023;Eleccions municipals 2023;0;0;52099
53130;MUNI26M;Eleccions municipals 26M;0;1;52099
53754;ELECCIONS20;Eleccions Parlament Catalunya 2020;2;1;52099
54174;ELECCIONS21;Eleccions Parlament Catalunya 2021;0;0;52099
55921;ELECTORAL;Eleccions Parlament Catalunya 2024;0;0;52099
56503;ELONMUSK;Elon Musk;0;0;52099
52813;ELSAARTADI;Elsa Artadi;0;1;52099
53051;MACRON;Emmanuel Macron;0;0;52099
54228;EMPRESA;Empresa;0;0;52099
52505;ENERGIA;Energia;0;0;52099
52784;ENRICMILLO;Enric Millo;0;1;52099
55496;EQUADOR;Equador;0;0;52099
52387;ERC;ERC;0;0;52099
52814;ERNMARAGALL;Ernest Maragall;0;0;52099
54548;ERTO;ERTO;0;0;52099
54292;ESCOCIA;Escòcia ;0;0;52099
52888;ESGLESIA;Església;0;0;52099
52698;ESPAIFCB;Espai Barça;0;0;52104
52636;ESPIONATGE;Espionatge;0;0;52099
53552;E360;Esports360;0;0;52104
54177;ESTACIO;Estació Espacial Internacional;0;0;52099
53601;ESTATALARMA;Estat d'alarma;0;0;52099
52227;ESTATISLAMIC;Estat Islàmic;0;0;52099
52396;ESTATSUNITS;Estats Units;0;0;52099
52820;ESTERCAPELLA;Ester Capella;0;0;52099
56110;ESTILDEVIDA;Estils de vida;0;0;52099
56007;PUA_ESTRESX3;Estrenes SX3;0;0;54781
52229;ETA;ETA;0;0;52099
56072;EUROCOPA2024;Eurocopa 2024;0;0;52104
54415;EURO2020;Eurocopa2020;0;1;52104
56961;EURO2025;Eurocopa2025;0;0;52104
52351;EUROLLIGA;Eurolliga;0;0;52104
52893;EUSEBIO;Eusebio;0;1;52104
52731;EUTANASIA;Eutanàsia;0;0;52099
53489;EVOMORALES;Evo Morales;0;1;52099
56385;PUA_EXCURSX3;Excursions per fer en família;0;0;54781
52638;EXERCITESP;Exèrcit espanyol;0;0;52099
56255;EXPLICATIUS;Explicatius;2;0;52099
52354;EXTREMADRETA;Extrema dreta;0;0;52099
55385;EXTREMADURA;Extremadura;0;0;52099
52527;FACEBOOK;Facebook;0;0;52099
53337;FAMILIA;Família ;0;0;52099
54798;FAMILIESCOLA;Famílies i escola;2;1;54781
53378;FARC;FARC;0;0;52099
53669;FASEDESESCAL;Fases de la desescalada;0;1;52099
56282;FEINA;Feina;0;0;52099
54188;FEIXISME;Feixisme;0;0;52099
52684;FELIPVI;Felip VI;0;0;52099
52368;FEMINISME;Feminisme;1;1;52099
56283;FEMENISMEGEN;Feminisme i gènere;0;0;52099
52944;MARLASKA;Fernando Grande-Marlaska;0;0;52099
52737;CANNES;Festival de Canes;0;0;52099
52894;FESTIVSITGES;Festival de Sitges;0;0;52099
53232;EUROVISIO;Festival d'Eurovisió;0;0;52099
55299;FILIPINES;Filipines;0;0;52099
54394;UWCLGOTERBOG;Final Champions Göteborg;0;1;52104
52692;FINALCOPA18;Final Copa 2018;0;1;52104
53234;FINALCOPAREI;Final Copa Rei 2019;2;1;52104
52635;AUTONOMIC;Finançament autonòmic;0;0;52099
54521;FINLANDIA;Finlàndia;0;0;52099
56083;FIRMES;Firmes;2;0;52099
53494;FISCALIAGEN;Fiscalia General de l'Estat;0;0;52099
54144;FMI;Fons Monetari Internacional ;0;0;52099
54677;FP;Formació Professional ;0;0;52099
53381;FOTOGRAFIA;Fotografia ;0;0;52099
52917;FRANCA;França;0;0;52099
52604;CANDEL;Francesc Candel;0;1;52099
55494;ARMENGOL;Francina Armengol;0;0;52099
